Tag,SpeciesNam,DBH,treeXCoord,treeYCoord,treeID,i_mn_fr,h_max,i_mn_sn,i_mean,h_mn_sn,P50h,P90h,h_mean,h_75nrm,i_cv,i_p25,i_p50,i_iq,ndgi,src,si,b2norm,avi,rr,ndwi,ndvi,b4norm
"32376",Adinandra integerrima,52.500000000000000,754820.299989999970421,1597838.399990000063553,"775",109.338320864505405,32.622999999999998,241.574712643678168,77.441200064174552,13.617121839080459,15.443000000000000,28.948800000000002,15.632823359537943,0.747733219740766,105.354331208929480,24.000000000000000,53.000000000000000,72.000000000000000,-0.06162,2.71088,0.96677,0.23942,0.34266,7.08338,0.31263,0.75258,0.11152
"21160",Aglaia lawii,51.000000000000000,754584.900000000023283,1597701.399990000063553,"498",110.581861012956423,36.462000000000003,149.174768518518505,73.848465554565138,30.411164351851852,28.757999999999999,34.172800000000002,25.482633006494336,0.891826200944916,85.554439681765530,23.000000000000000,55.000000000000000,83.000000000000000,-0.17606,3.22549,0.97224,0.14996,0.28775,5.77324,0.26748,0.70472,0.13380
"21453",Aglaia lawii,65.599999999999994,754589.599999999976717,1597404.800000000046566,"662",156.379569455727051,33.933000000000000,234.489917849141136,108.908313980492338,17.172206123973115,15.965000000000000,29.852799999999998,14.916280352995820,0.639100598627537,90.772138875129940,31.000000000000000,78.000000000000000,138.000000000000000,-0.08789,3.00893,0.96346,0.36062,0.33848,6.23364,0.35341,0.72351,0.12388
"22233",Aglaia lawii,82.299999999999997,754617.800000000046566,1597478.600000000093132,"305",163.558384639465714,39.547000000000004,236.933899654897800,117.176872199701307,18.516190868064772,13.386500000000002,35.718299999999999,17.278877426925540,0.803900859914009,86.288929155115568,35.000000000000000,87.000000000000000,151.000000000000000,-0.10811,3.40997,0.97222,0.18918,0.30883,6.78717,0.28637,0.74317,0.11639
"40518",Aglaia lawii,54.000000000000000,754980.299989999970421,1597423.399999999906868,"487",169.232859319451507,36.785000000000004,239.587016574585647,119.818710427703834,23.797229972375693,18.410000000000000,32.279000000000003,18.459459490890296,0.756394277663379,91.438663065851628,33.000000000000000,90.000000000000000,157.500000000000000,-0.13586,2.62849,0.96760,0.25950,0.31538,5.97200,0.27964,0.71314,0.12932
"210498",Aglaia lawii,75.299999999999997,754588.579999999958090,1597387.550000000046566,"265",159.318529130850038,40.207000000000001,234.939832444782951,117.685008774128860,20.303761614623003,8.937500000000000,37.195599999999999,15.398450363499624,0.749294449670743,87.342215196291534,35.000000000000000,87.000000000000000,149.000000000000000,-0.08224,3.13091,0.96878,0.23448,0.32041,6.61146,0.30287,0.73724,0.11821
"18187",Dysoxylum arborescens,88.200000000000003,754530.800000000046566,1597628.000000000000000,"278",133.920364824394227,40.027999999999999,211.745081266039364,93.127689809175806,24.680004277159966,26.746000000000002,36.298000000000002,23.876529638652052,0.840922114809647,94.529383672699410,26.000000000000000,64.000000000000000,104.000000000000000,-0.04893,3.65637,0.96639,0.25185,0.31936,6.32891,0.35374,0.72711,0.12142
"29420",Albizia attopeuensis,50.700000000000003,754750.899989999947138,1597439.199999999953434,"385",143.872165194557169,38.082000000000001,201.301496792587301,92.707940844009045,26.845458303635070,27.852000000000000,34.997999999999998,24.484637999246420,0.848624391006435,89.723738912763253,26.000000000000000,66.000000000000000,111.000000000000000,-0.11103,3.71093,0.96772,0.24074,0.28793,5.31441,0.35137,0.68326,0.14056
"17291",Alphonsea boniana,72.000000000000000,754505.500000000000000,1597758.799989999970421,"183",164.461060209424090,42.393000000000001,234.590010056989598,109.003442679388186,24.635602413677507,21.652000000000001,35.478000000000002,21.355786750602469,0.688122174595367,87.108600992240099,30.000000000000000,78.000000000000000,148.000000000000000,-0.17671,3.61831,0.97467,0.15787,0.26801,5.62803,0.26048,0.69825,0.13647
"18034",Alphonsea boniana,53.399999999999999,754529.000000000000000,1597482.500000000000000,"145",215.710300954245156,43.582000000000001,285.293519695044495,157.686748652756677,27.471663913595936,21.853000000000002,40.538000000000004,22.561610612132100,0.878532496679339,79.232596123317990,43.000000000000000,127.000000000000000,224.000000000000000,-0.13196,3.09539,0.97134,0.22074,0.29610,6.06445,0.26245,0.71689,0.12769
